#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATXN3	ATAD1	9940.ENSOARP00000013662	9940.ENSOARP00000015129	0	0	0	0	0.067	0.279	0.332	0.136	0.559
ATXN3	UBC	9940.ENSOARP00000013662	9940.ENSOARP00000019508	0	0	0	0	0	0.728	0.438	0.149	0.858
AZI2	TANK	9940.ENSOARP00000015651	9940.ENSOARP00000007272	0	0	0	0	0.055	0	0.800	0.393	0.875
B3GNT2	ERRFI1	9940.ENSOARP00000020997	9940.ENSOARP00000010801	0	0	0	0	0	0	0	0.480	0.480
BAG3	HSPA8	9940.ENSOARP00000003221	9940.ENSOARP00000000124	0	0	0	0	0.067	0.484	0.504	0.758	0.934
BAG3	RIPK2	9940.ENSOARP00000003221	9940.ENSOARP00000012001	0	0	0	0	0	0.112	0.214	0.257	0.436
BAG3	UBC	9940.ENSOARP00000003221	9940.ENSOARP00000019508	0	0	0	0	0	0.278	0.180	0.135	0.443
BAG3	AMOTL2	9940.ENSOARP00000003221	9940.ENSOARP00000008862	0	0	0	0	0	0.080	0.066	0.478	0.512
BAG3	DNAJA1	9940.ENSOARP00000003221	9940.ENSOARP00000010281	0	0	0	0	0.066	0.185	0	0.486	0.574
BAG3	DNAJB4	9940.ENSOARP00000003221	9940.ENSOARP00000014285	0	0	0	0	0.139	0.145	0	0.481	0.584
BAG3	DNAJB1	9940.ENSOARP00000003221	9940.ENSOARP00000005841	0	0	0	0	0.173	0.145	0	0.558	0.660
BAG3	HSPA4L	9940.ENSOARP00000003221	9940.ENSOARP00000017122	0	0	0	0	0.059	0.505	0.394	0.274	0.767
BAG3	HSPH1	9940.ENSOARP00000003221	9940.ENSOARP00000012602	0	0	0	0	0.111	0.505	0.394	0.232	0.767
BAG3	HSPA6	9940.ENSOARP00000003221	9940.ENSOARP00000007992	0	0	0	0	0.067	0.484	0.245	0.576	0.825
BAG3	HSPA1A	9940.ENSOARP00000003221	9940.ENSOARP00000009461	0	0	0	0	0.067	0.484	0.245	0.742	0.894
BAMBI	FST	9940.ENSOARP00000016286	9940.ENSOARP00000008709	0	0	0	0	0.126	0	0	0.392	0.446
BAMBI	SMAD9	9940.ENSOARP00000016286	9940.ENSOARP00000011036	0	0	0	0	0.054	0.065	0.354	0.124	0.432
BAMBI	INHBA	9940.ENSOARP00000016286	9940.ENSOARP00000018756	0	0	0	0	0.134	0	0.172	0.305	0.458
BCL6	NEB	9940.ENSOARP00000022009	9940.ENSOARP00000009324	0	0	0	0	0	0.740	0.052	0	0.742
BCL6	RELB	9940.ENSOARP00000022009	9940.ENSOARP00000010249	0	0	0	0	0.079	0.099	0.066	0.335	0.416
BCL6	CD44	9940.ENSOARP00000022009	9940.ENSOARP00000020204	0	0	0	0	0.079	0	0.102	0.874	0.887
BCL6	MXD1	9940.ENSOARP00000022009	9940.ENSOARP00000021203	0	0	0	0	0.044	0.067	0	0.427	0.444
BHLHE40	NFIL3	9940.ENSOARP00000008413	9940.ENSOARP00000003574	0	0	0	0	0	0.101	0.087	0.415	0.478
BIRC3	TNFAIP3	9940.ENSOARP00000006810	9940.ENSOARP00000000580	0	0	0	0	0.146	0.228	0.407	0.628	0.835
BIRC3	CTSC	9940.ENSOARP00000006810	9940.ENSOARP00000004269	0	0	0	0	0	0	0.650	0.076	0.662
BIRC3	IRAK2	9940.ENSOARP00000006810	9940.ENSOARP00000005327	0	0	0	0	0.066	0.106	0.105	0.299	0.406
BIRC3	TNFSF13B	9940.ENSOARP00000006810	9940.ENSOARP00000006026	0	0	0	0	0	0	0.407	0.102	0.444
BIRC3	IRF1	9940.ENSOARP00000006810	9940.ENSOARP00000016180	0	0	0	0	0.076	0.143	0.055	0.328	0.430
BIRC3	CCL20	9940.ENSOARP00000006810	9940.ENSOARP00000022112	0	0	0	0	0.080	0.090	0	0.406	0.459
BIRC3	NFKBIZ	9940.ENSOARP00000006810	9940.ENSOARP00000019997	0	0	0	0	0.102	0.082	0.053	0.410	0.477
BIRC3	IER3	9940.ENSOARP00000006810	9940.ENSOARP00000012288	0	0	0	0	0	0.083	0	0.470	0.493
BIRC3	NFKB1	9940.ENSOARP00000006810	9940.ENSOARP00000013630	0	0	0	0	0.111	0.178	0.053	0.374	0.509
BIRC3	CASP8	9940.ENSOARP00000006810	9940.ENSOARP00000018175	0	0	0	0	0.066	0.227	0.148	0.323	0.528
BIRC3	RELB	9940.ENSOARP00000006810	9940.ENSOARP00000010249	0	0	0	0	0.110	0.142	0	0.473	0.562
BIRC3	NFKBIA	9940.ENSOARP00000006810	9940.ENSOARP00000008048	0	0	0	0	0.112	0.090	0.053	0.536	0.598
BIRC3	EIF2AK2	9940.ENSOARP00000006810	9940.ENSOARP00000010460	0	0	0	0	0	0	0.053	0.613	0.617
BIRC3	UBC	9940.ENSOARP00000006810	9940.ENSOARP00000019508	0	0	0	0	0.088	0.508	0.407	0.087	0.724
BIRC3	RIPK2	9940.ENSOARP00000006810	9940.ENSOARP00000012001	0	0	0	0	0.080	0.450	0.921	0.305	0.968
BTG1	RBMS1	9940.ENSOARP00000017998	9940.ENSOARP00000007363	0	0	0	0	0	0	0	0.478	0.478
CASP8	TNFAIP3	9940.ENSOARP00000018175	9940.ENSOARP00000000580	0	0	0	0	0.067	0.210	0	0.255	0.403
CASP8	BIRC3	9940.ENSOARP00000018175	9940.ENSOARP00000006810	0	0	0	0	0.066	0.227	0.148	0.323	0.528
CASP8	NFKBIA	9940.ENSOARP00000018175	9940.ENSOARP00000008048	0	0	0	0	0.078	0.096	0.109	0.300	0.411
CASP8	TICAM1	9940.ENSOARP00000018175	9940.ENSOARP00000009342	0	0	0	0	0.064	0.103	0.451	0.235	0.600
CASP8	HSPA1A	9940.ENSOARP00000018175	9940.ENSOARP00000009461	0	0	0	0	0	0.084	0	0.382	0.409
CASP8	RIPK2	9940.ENSOARP00000018175	9940.ENSOARP00000012001	0	0	0	0	0.077	0.182	0.257	0.229	0.509
CASP8	HIP1	9940.ENSOARP00000018175	9940.ENSOARP00000014160	0	0	0	0	0	0.143	0.800	0	0.821
CASP8	EGFR	9940.ENSOARP00000018175	9940.ENSOARP00000014758	0	0	0	0	0.051	0.046	0	0.544	0.551
CASP8	TYRO3	9940.ENSOARP00000018175	9940.ENSOARP00000021895	0	0	0	0	0.047	0.182	0.257	0.210	0.481
CASP8	HMOX1	9940.ENSOARP00000018175	9940.ENSOARP00000019836	0	0	0	0	0	0	0	0.572	0.572
CASP8	N4BP1	9940.ENSOARP00000018175	9940.ENSOARP00000018210	0	0	0	0	0.049	0	0.833	0.086	0.842
CCDC6	XRN2	9940.ENSOARP00000004520	9940.ENSOARP00000004760	0	0	0	0	0	0	0	0.481	0.481
CCDC6	TNS1	9940.ENSOARP00000004520	9940.ENSOARP00000020886	0	0	0	0	0	0	0	0.568	0.568
CCL2	W5NPL3_SHEEP	9940.ENSOARP00000010324	9940.ENSOARP00000000103	0	0	0	0.792	0	0.069	0.067	0.637	0.657
CCL2	TNFAIP3	9940.ENSOARP00000010324	9940.ENSOARP00000000580	0	0	0	0	0.137	0	0	0.411	0.469
CCL2	MMP13	9940.ENSOARP00000010324	9940.ENSOARP00000005136	0	0	0	0	0.102	0	0	0.579	0.606
CCL2	NFKBIA	9940.ENSOARP00000010324	9940.ENSOARP00000008048	0	0	0	0	0.145	0	0	0.465	0.523
CCL2	CXCL16	9940.ENSOARP00000010324	9940.ENSOARP00000008239	0	0	0	0	0.045	0	0.138	0.626	0.665
CCL2	LOC101103623	9940.ENSOARP00000010324	9940.ENSOARP00000009333	0	0	0	0	0	0	0	0.479	0.479
CCL2	STAT2	9940.ENSOARP00000010324	9940.ENSOARP00000009831	0	0	0	0	0.058	0	0.092	0.413	0.454
CCL2	RELB	9940.ENSOARP00000010324	9940.ENSOARP00000010249	0	0	0	0	0.081	0.131	0	0.402	0.481
CCL2	EGFR	9940.ENSOARP00000010324	9940.ENSOARP00000014758	0	0	0	0	0	0	0	0.404	0.404
CCL2	THBS1	9940.ENSOARP00000010324	9940.ENSOARP00000021538	0	0	0	0	0.106	0	0	0.375	0.418
CCL2	CCN2	9940.ENSOARP00000010324	9940.ENSOARP00000015287	0	0	0	0	0.110	0	0	0.437	0.477
CCL2	CXCL8	9940.ENSOARP00000010324	9940.ENSOARP00000015557	0	0	0	0	0.124	0	0.136	0.393	0.501
CCL2	IRF1	9940.ENSOARP00000010324	9940.ENSOARP00000016180	0	0	0	0	0.111	0.098	0	0.460	0.529
CCL2	CD274	9940.ENSOARP00000010324	9940.ENSOARP00000014478	0	0	0	0	0.078	0	0	0.524	0.542
CCL2	LOC101114226	9940.ENSOARP00000010324	9940.ENSOARP00000019646	0	0	0	0	0.095	0.098	0	0.569	0.617
CCL2	SELE	9940.ENSOARP00000010324	9940.ENSOARP00000011870	0	0	0	0	0.111	0	0	0.605	0.633
CCL2	CD44	9940.ENSOARP00000010324	9940.ENSOARP00000020204	0	0	0	0	0.148	0	0	0.604	0.648
CCL2	CSF1	9940.ENSOARP00000010324	9940.ENSOARP00000020785	0	0	0	0	0.186	0	0	0.789	0.821
CCL2	ICAM1	9940.ENSOARP00000010324	9940.ENSOARP00000016801	0	0	0	0	0.282	0	0	0.785	0.839
CCL2	CSF2	9940.ENSOARP00000010324	9940.ENSOARP00000016551	0	0	0	0	0.121	0	0.095	0.830	0.853
CCL2	CCL20	9940.ENSOARP00000010324	9940.ENSOARP00000022112	0	0	0	0	0.257	0.069	0.067	0.850	0.890
CCL2	NFKB1	9940.ENSOARP00000010324	9940.ENSOARP00000013630	0	0	0	0	0.081	0	0.900	0.426	0.942
CCL2	CXCL10	9940.ENSOARP00000010324	9940.ENSOARP00000017841	0	0	0	0	0.236	0.142	0.124	0.916	0.945
CCL20	W5NPL3_SHEEP	9940.ENSOARP00000022112	9940.ENSOARP00000000103	0	0	0	0	0	0	0.307	0.621	0.726
CCL20	TNFAIP3	9940.ENSOARP00000022112	9940.ENSOARP00000000580	0	0	0	0	0	0	0	0.453	0.453
CCL20	BIRC3	9940.ENSOARP00000022112	9940.ENSOARP00000006810	0	0	0	0	0.080	0.090	0	0.406	0.459
CCL20	NFKBIA	9940.ENSOARP00000022112	9940.ENSOARP00000008048	0	0	0	0	0.260	0.100	0.054	0.444	0.602
CCL20	CXCL16	9940.ENSOARP00000022112	9940.ENSOARP00000008239	0	0	0	0	0	0	0.356	0.632	0.753
CCL20	CCL2	9940.ENSOARP00000022112	9940.ENSOARP00000010324	0	0	0	0	0.257	0.069	0.067	0.850	0.890
CCL20	IRF1	9940.ENSOARP00000022112	9940.ENSOARP00000016180	0	0	0	0	0.152	0.047	0.055	0.333	0.423
CCL20	CSF2	9940.ENSOARP00000022112	9940.ENSOARP00000016551	0	0	0	0	0.150	0	0	0.676	0.713
CCL20	ICAM1	9940.ENSOARP00000022112	9940.ENSOARP00000016801	0	0	0	0	0.166	0	0	0.565	0.621
CCL20	CXCL10	9940.ENSOARP00000022112	9940.ENSOARP00000017841	0	0	0	0	0	0.098	0.356	0.765	0.851
CCL20	NFKBIZ	9940.ENSOARP00000022112	9940.ENSOARP00000019997	0	0	0	0	0.150	0.100	0.054	0.297	0.423
CCL20	CSF1	9940.ENSOARP00000022112	9940.ENSOARP00000020785	0	0	0	0	0	0	0	0.533	0.533
CCN2	MMP13	9940.ENSOARP00000015287	9940.ENSOARP00000005136	0	0	0	0	0.054	0.044	0	0.452	0.461
CCN2	AMOTL2	9940.ENSOARP00000015287	9940.ENSOARP00000008862	0	0	0	0	0.128	0	0	0.536	0.578
CCN2	CCL2	9940.ENSOARP00000015287	9940.ENSOARP00000010324	0	0	0	0	0.110	0	0	0.437	0.477
CCN2	EGFR	9940.ENSOARP00000015287	9940.ENSOARP00000014758	0	0	0	0	0	0.098	0	0.453	0.486
CCN2	ICAM1	9940.ENSOARP00000015287	9940.ENSOARP00000016801	0	0	0	0	0.103	0.065	0	0.405	0.457
CCN2	CD44	9940.ENSOARP00000015287	9940.ENSOARP00000020204	0	0	0	0	0.079	0	0	0.452	0.474
CCN2	FGF7	9940.ENSOARP00000015287	9940.ENSOARP00000022568	0	0	0	0	0.079	0	0	0.542	0.560
CCN2	EGR1	9940.ENSOARP00000015287	9940.ENSOARP00000017688	0	0	0	0	0.089	0	0	0.545	0.567
CCN2	THBS1	9940.ENSOARP00000015287	9940.ENSOARP00000021538	0	0	0	0	0.269	0.061	0	0.613	0.711
CCN2	ANKRD1	9940.ENSOARP00000015287	9940.ENSOARP00000017081	0	0	0	0	0.081	0.048	0	0.737	0.750
CCNJ	E2F2	9940.ENSOARP00000007489	9940.ENSOARP00000007862	0	0	0	0	0.052	0.218	0.259	0.146	0.468
CCNJ	RBL1	9940.ENSOARP00000007489	9940.ENSOARP00000018487	0	0	0	0	0.090	0.169	0.289	0.180	0.500
CCNJ	MCMDC2	9940.ENSOARP00000007489	9940.ENSOARP00000019224	0	0	0	0	0.149	0.184	0.259	0.171	0.516
CCNJ	CDK17	9940.ENSOARP00000007489	9940.ENSOARP00000013346	0	0	0	0	0.185	0.266	0.245	0.134	0.556
CD200	W5NPL3_SHEEP	9940.ENSOARP00000020730	9940.ENSOARP00000000103	0	0	0	0	0	0	0	0.839	0.839
CD200	CD274	9940.ENSOARP00000020730	9940.ENSOARP00000014478	0	0	0	0	0	0	0	0.477	0.477
CD200	CD44	9940.ENSOARP00000020730	9940.ENSOARP00000020204	0	0	0	0	0	0	0	0.457	0.457
CD274	MUC1	9940.ENSOARP00000014478	9940.ENSOARP00000004043	0	0	0	0	0	0	0	0.418	0.418
CD274	STAT2	9940.ENSOARP00000014478	9940.ENSOARP00000009831	0	0	0	0	0.066	0	0.109	0.357	0.418
CD274	CCL2	9940.ENSOARP00000014478	9940.ENSOARP00000010324	0	0	0	0	0.078	0	0	0.524	0.542
CD274	UBA7	9940.ENSOARP00000014478	9940.ENSOARP00000012874	0	0	0	0	0.059	0	0	0.398	0.409
CD274	CD200	9940.ENSOARP00000014478	9940.ENSOARP00000020730	0	0	0	0	0	0	0	0.477	0.477
CD274	CSF1	9940.ENSOARP00000014478	9940.ENSOARP00000020785	0	0	0	0	0.104	0	0	0.483	0.516
CD274	ICAM1	9940.ENSOARP00000014478	9940.ENSOARP00000016801	0	0	0	0	0.068	0	0	0.517	0.530
CD274	IRF1	9940.ENSOARP00000014478	9940.ENSOARP00000016180	0	0	0	0	0.112	0	0	0.527	0.562
CD274	CSF2	9940.ENSOARP00000014478	9940.ENSOARP00000016551	0	0	0	0	0	0	0	0.578	0.578
CD274	EGFR	9940.ENSOARP00000014478	9940.ENSOARP00000014758	0	0	0	0	0	0	0	0.580	0.580
CD274	CXCL10	9940.ENSOARP00000014478	9940.ENSOARP00000017841	0	0	0	0	0.081	0	0	0.567	0.585
CD274	CD44	9940.ENSOARP00000014478	9940.ENSOARP00000020204	0	0	0	0	0	0	0	0.599	0.599
CD44	LAMC2	9940.ENSOARP00000020204	9940.ENSOARP00000000770	0	0	0	0	0	0.041	0.900	0.276	0.924
CD44	MUC1	9940.ENSOARP00000020204	9940.ENSOARP00000004043	0	0	0	0	0.047	0	0.108	0.566	0.599
CD44	MMP13	9940.ENSOARP00000020204	9940.ENSOARP00000005136	0	0	0	0	0.053	0.049	0.261	0.460	0.592
CD44	CCL2	9940.ENSOARP00000020204	9940.ENSOARP00000010324	0	0	0	0	0.148	0	0	0.604	0.648
CD44	S1PR1	9940.ENSOARP00000020204	9940.ENSOARP00000011471	0	0	0	0	0.098	0	0	0.379	0.416
