"Geneid","Length","SRR21623193","SRR21623194","SRR21623195","SRR21623196","SRR21623197","SRR21623198"
"LOC101105734",397,388,318,416,276,347,263
"LOC101105485",902,32,24,29,2,15,11
"LOC105606138",4415,75,44,51,33,55,42
"LOC105606137",621,243,180,244,199,130,191
"LOC105606136",3545,316,184,261,116,163,131
"LOC105606135",1370,158,70,130,74,71,66
"LOC101105230",787,3,0,1,3,5,7
"LOC105606134",786,3,0,1,3,1,7
"LOC101104976",2330,0,0,0,8,3,0
"LOC105606132",1044,0,0,0,0,6,3
"LOC106992043",533,31,12,19,16,25,20
"LOC106992042",648,31,12,19,16,25,20
"LOC105606130",272,1,0,0,1,0,1
"LOC105606129",520,0,0,0,4,0,0
"LOC105606131",1113,1,6,2,3,2,1
"LOC101104218",581,2,0,0,2,0,0
"LOC105601936",579,106,48,106,81,92,78
"LOC101103959",2837,262,216,266,190,220,136
"LOC106992041",347,0,0,0,0,0,0
"LOC105606125",596,1,2,0,2,2,4
"LOC101103708",377,0,3,0,0,5,0
"LOC101103461",1574,0,0,0,0,4,0
"CYP17A1",1731,36,26,33,28,32,38
"LOC101102968",1406,1218,784,1313,513,638,637
"LOC101102711",4194,179,108,128,82,92,101
"LOC101102466",7901,429,371,432,265,406,310
"LOC105606123",1263,67,74,88,50,48,28
"LOC101123541",835,156,108,182,86,128,122
"ABTB1",1556,461,246,527,203,310,229
"LOC101123021",452,52,28,42,38,40,32
"LOC105606122",1457,320,182,315,126,180,195
"LOC101122769",1225,151,114,214,78,124,128
"LOC101122261",957,126,113,155,83,122,117
"LOC105606118",368,479,310,461,255,368,318
"LOC105606117",678,23,9,4,1,10,4
"LOC105606116",934,320,256,283,186,194,204
"LOC105606114",992,3,2,2,10,8,2
"LOC105606115",361,2,1,0,3,1,0
"LOC101122009",404,0,0,2,0,3,0
"LOC101121756",261,98,66,97,64,55,79
"LOC105606113",885,2778,1350,2154,700,1124,904
"LOC101121500",5908,0,9,2,17,54,30
"LOC101120995",815,0,0,0,0,0,0
"LOC101120735",455,0,0,0,0,0,0
"LOC101120480",1712,0,0,0,0,0,0
"LOC105606111",4154,25,7,23,32,35,33
"LOC443162",483,2,4,2,0,0,0
"LOC105606110",814,1,4,3,2,7,3
"LOC106990114",688,1172,885,1150,606,810,696
"LOC105606108",1868,231,136,174,73,101,89
"LOC101119195",2526,57,22,56,26,24,24
"LOC105606107",377,3,4,9,4,3,3
"LOC105606106",357,0,2,0,0,0,0
"LOC105606105",415,152,101,174,72,105,75
"LOC105606104",413,150,100,172,73,102,77
"LOC101118429",2241,354,202,351,90,120,125
"LOC101118174",3231,0,2,3,1,5,4
"LOC105606103",613,7,4,7,2,4,8
"LOC105606102",574,1,4,1,0,2,0
"LOC101117914",822,108,54,95,40,38,54
"LOC101117402",805,1,0,0,0,0,0
"LOC101117146",1562,1,0,0,0,0,0
"LOC101116892",935,0,0,0,0,0,0
"LOC101116639",675,0,0,0,0,0,0
"LOC101116386",717,0,0,0,0,0,0
"LOC105606101",2708,7,6,8,5,7,2
"LOC105606099",716,116,48,96,36,53,68
"LOC105606098",406,202,126,156,74,103,115
"LOC105606097",1004,114,70,150,46,68,46
"LOC101115864",312,0,2,2,0,0,0
"LOC105606096",628,512,304,524,253,367,324
"LOC105606095",904,230,95,176,115,247,186
"LOC101115610",347,2,8,0,12,2,4
"LOC101115353",862,0,20,9,19,5,18
"LOC101115105",1325,0,0,0,0,0,0
"LOC101114853",1790,0,0,6,0,0,1
"LOC101114596",1421,20,10,12,15,26,16
"SYT2",2364,2,2,2,0,4,8
"LOC106992040",325,0,0,0,0,0,0
"LOC101113832",1698,1208,612,914,726,988,937
"LOC105606089",1109,0,0,0,0,0,0
"LOC105606088",1494,0,0,2,0,0,8
"LOC101112551",3036,0,0,0,6,0,2
"LOC101112800",3126,10,6,20,17,14,2
"LOC101112300",825,16,8,4,20,16,13
"LOC105606087",725,8,4,11,6,19,12
"LOC105606083",2636,2,0,0,1,0,0
"LOC105606082",2171,83,68,68,45,68,63
"LOC105606081",1081,0,2,0,0,0,0
"LOC105606080",786,0,0,0,0,0,0
"LOC101111266",1410,0,0,3,2,0,0
"LOC101111531",577,0,0,0,0,0,0
"LOC105606076",984,33,52,71,30,30,45
"LOC105606075",1800,96,40,109,41,47,85
"LOC105606074",715,206,118,307,112,104,112
"PPP1R16A",1782,279,152,247,114,200,125
"GPT",3259,293,150,204,120,193,204
"LOC105606073",4530,5048,3933,4606,3673,4246,4404
"LOC105606072",1175,1321,1068,1153,807,961,993
"LOC105606070",534,3,2,2,1,2,2
"LOC105606069",528,3,2,2,1,2,2
"LOC101109686",602,2,4,8,0,0,0
"LOC101109428",1418,164,105,122,56,60,32
"LOC101108900",835,0,0,0,0,0,0
"LOC101108639",459,0,0,0,0,0,0
"LOC105606067",398,188,177,247,61,77,58
"LOC101108375",888,0,0,0,0,0,0
"LOC101108116",654,3,0,2,1,1,6
"LOC101107852",1086,7,0,2,5,3,8
"LOC101107586",983,148,80,152,52,109,97
"LOC105606066",266,42,27,48,8,32,24
"LOC105606065",552,1,1,1,1,1,0
"LOC105606064",420,27,35,39,4,9,30
"LOC105606063",460,17,18,17,5,5,11
"LOC105606062",632,64,43,48,29,42,31
"LOC106992039",825,12,4,0,4,10,27
"LOC101107342",1899,22,13,13,75,46,71
"LOC106990512",1963,0,0,0,0,0,0
"LOC106992038",959,0,0,0,0,0,0
"LOC101113151",3158,31,31,44,30,52,43
"LOC101106834",2338,0,4,5,6,7,2
"LOC101106577",1500,238,147,234,49,81,89
"LOC101106315",2512,494,326,404,108,173,162
"LOC101106065",1818,0,0,2,0,0,0
"LOC101105810",1203,0,0,0,0,4,0
"LOC105606059",578,35,20,27,16,18,28
"LOC105606058",621,45,24,29,17,20,29
"LOC101105065",666,2759,2396,2752,2198,2762,2548
"LOC105606057",1089,0,0,0,0,0,0
"LOC101104818",3476,1080,733,830,635,684,670
"LOC101104566",1222,4192,3186,3894,2463,3124,2894
"LOC106992037",1668,71,45,54,58,73,71
"LOC105606054",1110,0,0,0,0,0,0
"LOC105606053",1975,24,26,23,10,30,20
"LOC101103550",6295,185,182,202,195,208,224
"LOC101103307",2132,0,0,0,0,1,0
"CECR6",2895,12,16,27,18,26,40
"LOC105606051",1231,28,16,45,35,32,34
"LOC105606050",1000,71,43,64,17,35,48
"LOC101102799",1173,24,13,19,12,14,19
"LOC101102551",939,0,0,0,0,0,0
"LOC101102299",2581,746,554,652,179,224,180
"LOC101123359",1337,3307,2729,3014,1917,2596,2690
"LOC101122848",1756,952,606,882,504,560,574
"LOC105606049",4575,20,20,9,9,2,10
"LOC101122587",2097,14,3,8,12,17,7
"LOC105606048",780,20,34,40,28,51,40
"LOC101122341",1102,124,95,129,64,67,57
"LOC101122092",586,68,35,58,24,54,28
"LOC105606047",1043,30,48,56,38,58,58
"LOC105606046",1048,84,26,64,30,12,6
"LOC101121333",1793,23,26,21,23,41,10
"LOC101121082",797,23,10,22,26,32,10
"LOC101120818",1756,295,154,278,150,150,197
"MRPS2",726,544,283,451,227,224,267
"LCN10",1404,0,0,0,0,0,0
"LOC105606044",390,102,72,108,52,104,98
"LOC105606045",359,254,148,280,116,218,186
"LOC101119804",639,316,176,300,362,499,574
"LOC105606042",354,1,0,0,0,0,0
"NPPC",383,0,2,0,1,0,0
"LOC105601850",420,0,0,0,1,1,0
"LOC101119029",1280,144,92,108,49,88,56
"LOC105606040",536,3,6,1,0,0,2
"LOC105606039",3110,1827,1038,1566,551,780,821
"LOC101118770",1232,96,48,111,53,99,68
"LOC101119576",1641,1049,607,1036,792,1036,887
"LOC101118256",965,62,40,48,24,24,36
"LOC101117232",1878,12,4,2,0,0,2
"LOC105606037",779,0,0,1,0,1,1
"LOC105606036",321,29,10,32,12,12,14
"LOC101116715",507,144,89,137,79,90,86
"LOC105606035",976,0,0,1,0,0,4
"LOC105606034",894,0,2,0,0,0,1
"LOC101116464",1752,0,0,0,0,2,0
"LOC101116217",2555,1159,751,1006,589,846,700
"TRNAC-ACA",6286,228,182,213,148,227,192
"LOC105606031",1550,0,0,1,0,3,0
"LOC105606030",1955,0,1,1,0,3,0
"LOC105606029",441,0,0,0,0,0,0
"LOC443313",226,0,0,0,0,0,0
"LOC101115104",248,30,33,75,25,47,30
"LOC105606028",1069,0,10,0,0,6,4
"LOC105606027",823,10,10,28,29,11,15
"LOC105606026",265,3,1,4,0,2,0
"TRNAA-UGC",1512,157,154,184,283,280,321
"LOC101114504",979,12,21,10,14,6,5
"LOC105606024",406,0,0,0,0,4,0
"LOC105606023",1984,4,3,5,5,1,6
"LOC101114000",1753,18,34,28,88,68,81
"LOC101113741",905,0,0,0,0,0,0
"LOC101113478",627,0,0,0,0,0,0
"LOC100846990",267,0,0,0,0,0,0
"LOC101113217",2158,639,408,522,444,483,525
"LOC101112964",1468,0,0,3,0,0,2
"LOC105606022",1045,0,0,6,0,2,0
"LOC105606021",936,0,0,4,0,0,0
"LOC101112713",984,1,2,0,0,0,0
"LOC101112465",1084,0,0,0,0,0,0
"LOC101112208",405,61,73,65,30,68,37
"LOC101111949",1228,0,0,0,0,0,0
"LOC101111437",485,0,0,0,0,0,0
"LOC101111174",892,62,23,72,32,44,28
"LOC105613971",576,0,0,2,0,2,2
"LOC101110921",635,0,0,1,0,1,1
"LOC105606018",971,0,0,0,0,0,0
"LOC105606017",1078,3,0,0,0,1,3
"LOC105606016",1417,226,123,174,72,99,81
"LOC101110404",1524,16,8,2,11,7,12
"LOC101110134",1074,3,0,8,0,4,4
"LOC105606015",1205,87,48,62,36,79,42
"LOC101109870",3897,18,6,13,16,8,6
"LOC101109081",448,40,32,71,7,24,32
"LOC101108819",1738,6,0,0,0,6,4
"LOC105606011",426,0,0,6,2,2,6
"LOC105606009",1394,8,5,10,0,0,0
"LOC101108297",1633,1,0,0,0,2,0
"LOC105606008",1445,14,24,14,12,8,28
"LOC105614484",612,1,0,0,1,0,0
"LOC443035",333,0,0,0,0,0,1
"LOC105606007",1568,68,59,75,60,74,89
"LOC105606006",1119,152,84,130,28,52,55
"LOC105606005",998,41,20,32,8,24,13
"LOC105606004",1192,0,0,0,6,0,0
"LOC101106752",978,0,0,0,0,0,0
"LOC105612641",864,0,0,0,0,0,0
"LOC101106243",2122,6,0,8,3,16,0
"LOC105606001",1147,97,102,102,70,97,83
"LOC105606002",754,116,62,170,22,44,28
"LOC101105989",999,0,0,0,2,0,0
"CYP2C19",314,8,4,3,12,1,11
"LOC105606000",1318,1,0,2,2,12,4
"LOC101105483",393,0,0,0,0,0,0
"LOC105605999",779,0,0,0,0,2,2
"LOC101105228",933,0,0,0,0,0,0
"LOC101104974",948,0,0,0,0,0,0
"LOC101104726",933,0,0,0,0,0,0
"LOC101104468",1019,0,0,0,0,0,4
"LOC101104216",1244,0,0,0,0,0,0
"LOC101103958",770,6,4,0,0,6,4
"LOC101103707",1073,0,4,4,6,12,6
"LOC105605996",2274,0,0,0,0,0,0
"LOC105605995",1274,381,307,412,186,153,194
"LOC101103460",2423,0,0,0,0,0,0
"LOC101103220",2169,791,595,852,414,512,556
"LOC105605992",212,0,0,0,0,4,0
"LOC101102967",992,58,10,36,18,7,4
"LOC101102215",1475,226,145,232,125,144,225
"LOC101102464",1018,74,64,85,40,64,42
"LOC105605991",326,0,0,0,0,0,0
"LOC101123279",604,7868,6028,8261,6000,7827,6926
"TRNAS-GGA",8151,206,244,234,122,158,155
"LOC105605990",2594,10,8,2,0,8,2
"LOC105605988",2076,2,2,6,2,0,0
"LOC101122847",1049,49,19,86,46,48,45
"LOC101122586",690,0,0,0,10,0,2
"LOC101122340",840,0,0,0,0,0,0
"SLC2A5",3818,18,10,15,18,14,12
"LOC105605987",1793,3,1,6,5,1,1
"LOC101121839",1006,12,12,5,6,15,11
"LOC105605986",1474,4,0,4,2,2,0
"LOC101121584",1397,0,0,0,0,2,0
"LOC101121331",759,0,0,1,1,0,0
"LOC101121080",2746,442,261,294,264,390,361
"LOC101120817",871,14,0,0,6,0,0
"LOC105605984",2108,1,0,0,0,0,1
"LOC101120560",2158,722,531,716,393,555,491
"LOC101120064",1228,42,42,48,4,12,24
"PSMG4",364,526,562,630,425,484,456
"LOC101119545",1063,68,47,56,72,101,123
"LOC101119028",424,0,0,0,0,0,0
"TRNAW-CCA",10245,423,396,504,496,472,449
"LOC101118597",1379,981,682,904,705,692,767
"LOC443259",2321,56,53,136,45,62,48
"LOC105605981",887,0,0,0,0,1,0
"LOC106990116",1415,15,30,36,6,19,30
"EP4A",544,25,11,8,8,23,6
"LOC101107641",924,192,80,100,180,217,179
"TRNAC-GCA",20970,551,540,608,588,671,613
"LOC105605980",535,3,9,4,5,2,6
"LOC105605978",4762,582,444,557,304,281,249
"LOC101117231",1380,0,0,0,0,2,4
"TNFSF14",721,20,2,4,8,0,5
"LGALS15",266,4,0,2,8,0,0
"LOC101115949",1661,0,0,0,0,0,0
"LOC101115196",751,2,0,3,0,0,0
"LOC106990592",1192,0,0,0,0,0,0
"LOC101114430",975,0,0,0,0,0,0
"LOC101114179",810,0,0,0,0,0,0
"LOC101113923",5413,4,8,0,14,8,14
"LOC101113476",1066,0,0,3,2,0,0
"LOC101113215",2435,5,14,11,14,4,4
"LOC101112463",602,2,0,0,4,0,0
"LOC101112206",2601,0,1,0,0,0,0
"LOC101111947",556,0,0,0,0,0,0
"LOC105605975",2112,0,0,0,4,0,2
"LOC105605974",1316,67,65,88,27,27,48
"LOC106992036",2688,62,34,45,38,46,38
"LOC101111435",3181,134,105,128,194,249,252
"LOC105613935",956,0,0,0,0,0,0
"LOC105613933",921,0,0,0,0,0,0
"LOC101110403",383,0,0,0,0,0,4
"LOC105605971",674,2,8,8,6,0,0
"LOC105605970",754,52,58,78,38,66,52
"LOC101110133",994,1,7,7,6,3,12
"LOC105605969",1780,88,44,113,66,126,98
"LOC101109603",1815,8,2,12,1,5,20
"LOC106992035",567,10,4,16,3,1,13
"LOC106992034",3890,0,2,0,0,0,0
"LOC101109343",1278,177,58,180,91,128,118
"LOC101109080",993,44,31,45,34,61,31
"LOC105605967",601,0,0,1,4,0,1
"LOC101108558",981,1508,1141,1571,1103,1394,1368
"LOC101108296",1285,0,0,4,2,4,2
"LOC105612408",1433,1,0,2,2,6,0
"LOC105605965",268,1,1,4,1,4,7
"LOC105605964",232,8,0,0,0,8,4
"LOC101107772",9615,138,77,123,71,129,129
"LOC105605963",892,4,0,2,6,2,14
"LOC101107508",472,31,22,14,13,17,7
"LOC105605962",1450,45,28,44,13,19,32
"LOC101107262",1607,228,145,208,161,181,205
"LOC101107004",2403,2,0,2,0,0,0
"LOC101106751",3664,180,94,98,77,89,77
"LOC105605961",3078,18,30,20,35,37,42
"LOC101106242",1748,2,1,4,5,8,10
"LOC105605960",1962,0,0,0,0,0,0
"LOC101105987",810,0,0,0,0,0,0
"LOC105605959",1786,2803,2051,2326,1054,1202,1154
"LOC101105731",2568,0,0,0,2,0,4
"LOC106992033",467,0,0,0,0,0,0
"LOC105605958",1755,4,2,4,2,0,3
"LOC105605957",2947,2,2,4,2,2,0
"LOC101105481",2470,6,4,20,90,97,105
"LOC101104972",1357,2,0,0,23,9,13
"LOC101104725",599,88,59,127,83,95,66
"LOC105605956",5249,0,6,2,0,2,0
"TNNT3",927,0,5,0,0,4,6
"LOC101104215",683,0,0,0,0,0,0
"LOC105605954",928,0,0,0,0,0,0
"LOC105605953",1484,40,56,60,54,68,30
"LOC106992032",2193,38,30,39,38,26,47
"LOC101103705",2723,1,4,4,1,0,4
"LOC105605952",669,206,133,196,90,102,100
"LOC105614584",939,0,0,0,0,0,0
"LOC105605951",9194,2305,2058,2251,1320,1436,1660
"LOC101102708",474,0,0,0,0,0,0
"LOC101102463",372,0,0,0,0,0,0
"LOC105605950",902,0,0,0,0,0,0
"LOC101102213",1404,3,1,2,2,2,2
"LOC105605948",577,90,36,62,46,79,53
"LOC101123538",1155,1,4,2,1,0,0
"LOC101123277",780,0,0,0,2,0,0
"TRNAY-GUA",2251,146,139,170,114,185,130
"LOC101122585",712,0,0,0,0,0,0
"LOC101122339",564,0,0,0,0,0,0
"LOC101122089",688,0,0,0,0,0,0
"LOC101121838",862,10,6,16,13,6,14
"LOC101121583",1596,0,0,0,0,0,0
"LOC101121330",477,0,0,0,0,0,0
"LOC106992031",711,0,0,0,0,0,0
"LOC101120816",1002,0,0,0,0,0,0
"LOC101120559",694,0,2,0,0,0,0
"LOC105605944",1443,0,0,0,6,0,0
"LOC105605943",909,8,0,2,2,0,0
"LOC105605942",2984,48,32,55,52,56,39
"LOC105605941",1044,51,50,77,41,32,44
"LOC105605939",9884,426,355,392,386,539,481
"LOC105605940",982,68,88,50,15,49,51
"LOC105605938",2126,22,33,27,14,7,27
"LOC101120311",1004,15,16,24,10,13,18
"LOC101120063",833,0,0,2,0,0,1
"LOC105605937",2412,110,106,86,71,61,113
"LOC101119802",976,0,0,0,4,0,0
"LOC101119544",810,0,0,0,0,0,0
"LOC101119289",1031,0,0,0,0,0,0
"LOC105605935",185,2,4,4,2,11,2
"LOC101119027",1087,5594,4399,5510,2907,4436,3417
"LOC106992030",1473,15,7,9,2,6,6
"LOC105605934",2583,32,25,39,13,22,14
"LOC105605933",3679,380,320,322,164,194,172
"LOC101118515",3427,2,4,2,0,0,4
"LOC101117999",390,0,0,0,0,0,0
"LOC105605931",574,0,0,0,0,0,0
"LOC101117739",722,0,0,0,0,0,0
"LOC105605930",1071,10,14,10,0,10,6
"LOC101117229",897,21,2,16,6,3,4
"LOC105605929",1426,64,68,60,45,18,19
"LOC101116714",1320,72,65,56,71,45,50
"LOC105605928",1285,0,4,5,0,4,0
"LOC105605927",873,19,2,22,4,8,8
"LOC105605926",2430,49,87,91,37,59,58
"LOC101115948",2420,0,0,6,2,0,2
"LOC101115441",2263,12,17,11,10,12,4
"LOC106992029",604,3,1,1,0,0,1
"LOC105605925",329,0,0,0,0,0,6
"LOC101114941",960,110,100,113,58,58,66
"LOC105605924",2114,0,0,0,0,0,2
"LOC101114687",1820,0,0,2,0,3,0
"LOC101113399",396,0,4,10,2,1,3
"LOC101114178",601,6,4,7,6,2,8
"LOC101113922",450,0,5,0,0,0,0
"LOC101113665",462,0,0,0,0,1,0
"LOC105605922",2847,10,10,0,2,13,1
"LOC105605921",2285,9,12,24,0,25,8
"LOC101112891",1130,1,3,4,2,5,9
"LOC105605920",772,22,10,15,7,16,11
"LOC106990194",1855,70,59,50,18,57,44
"LOC101112635",1036,266,174,170,115,164,126
"LOC101112384",1017,0,2,0,2,2,0
"LOC101112122",1493,1333,230,854,5200,6776,6324
"TCEANC",1130,49,44,78,90,58,40
"LOC105605919",2530,82,52,80,13,19,20
"LOC105605918",939,0,3,1,1,0,1
"LOC101111616",945,35,20,14,22,42,20
"LOC101111083",961,0,2,0,2,0,0
"LOC105605916",2619,344,237,309,172,226,166
"LOC101110828",2564,380,242,392,222,272,244
"LOC105601913",2866,34,48,37,136,187,201
"SLC2A4RG",1120,188,136,209,109,166,174
"LOC101109783",583,0,0,0,0,0,0
"LOC101109524",2572,10,6,6,0,4,6
"LOC105605915",1491,82,45,97,70,74,67
"LOC106992028",331,0,0,0,0,0,0
"LOC101108295",576,47,33,55,13,44,24
"LOC101108035",3021,1037,719,1053,652,928,939
"LOC101107771",935,0,0,0,0,2,3
"LOC101107507",2472,505,310,453,152,259,221
"LOC101107261",856,3,2,0,0,0,0
"LOC105605914",1581,0,0,1,4,0,4
"MCP1",835,40,40,54,22,27,20
"LOC105605912",461,2,4,8,0,4,2
"LOC105609077",1023,2,0,0,4,2,4
"LOC106992027",959,65,21,36,34,30,34
"LOC105605910",864,0,1,2,2,4,6
"LOC105605909",2327,4,18,0,14,13,12
"LOC101106241",785,8,4,0,1,0,9
"ABCB1",1311,4,2,7,6,17,12
"LOC105605908",1538,20,14,12,8,10,4
"LOC101105316",961,0,0,0,0,0,0
"LOC101105730",746,12,6,4,2,6,0
"PNP",2581,2352,1769,2438,2722,3210,3029
"LOC101104817",2111,74,53,96,47,55,23
"LOC106992026",807,0,4,4,0,0,0
"CFH",6395,376,322,344,218,291,258
"LOC105605905",902,0,0,0,0,0,0
"LOC101104306",1824,1914,1575,1989,969,1222,1170
"LOC101104052",2296,17,21,19,0,0,0
"EP4D",910,26,6,18,0,8,6
"LOC105601851",1781,60,45,69,8,14,21
"LOC101103548",870,0,0,0,0,0,0
"LOC106992025",954,4,2,4,2,10,2
"LOC105605903",442,19,6,8,8,4,2
"LOC106990728",928,0,0,0,0,0,0
"TSSK2",1521,153,116,125,222,300,305
"LOC105605902",555,11,12,20,8,10,6
"LOC105605901",1097,1697,1171,1429,542,716,728
"LOC101102298",1461,783,466,706,370,540,412
"LOC105605899",496,134,98,112,48,66,86
"LOC105605898",308,54,38,56,44,52,33
"LOC105605896",2322,26,51,24,36,28,50
"LOC105605895",3255,395,473,439,233,288,241
"LOC101102048",1389,14,6,8,4,8,4
"LOC101123615",676,8,0,0,4,13,8
"LOC101123358",627,0,0,0,6,0,0
"LOC105605893",5764,355,312,337,144,222,199
"LOC101122845",1557,2,0,0,0,0,0
"LOC105605892",787,7,2,4,7,0,3
"LOC105605891",2180,262,117,181,76,96,122
"LOC101122584",3426,1129,725,1193,502,762,662
"LOC101122338",946,0,0,0,0,0,0
"LOC101122088",657,0,5,0,0,1,0
"LOC105605889",465,0,0,0,0,0,0
"LOC101121837",949,1,0,1,0,0,2
"LOC105614374",992,0,0,0,0,0,4
"LOC105605887",2735,0,0,0,0,0,0
"LOC101120815",2100,16,15,32,6,21,9
"CYP11B1",1560,0,3,0,0,0,0
"LOC101120062",1366,4,7,1,0,6,7
"LOC101119801",569,3,0,1,1,0,0
"LOC105605886",3216,1407,1149,1431,909,1316,1147
"LOC105605885",2401,12,0,8,9,17,5
"LOC101119026",804,1,0,0,0,0,0
"LOC101118768",1276,0,4,0,0,0,0
"LOC105605884",876,0,0,0,0,0,0
"LOC105605882",408,26,27,22,14,18,20
"LOC101118514",294,154,104,113,38,82,72
"LOC101118343",1660,0,0,0,0,0,0
"LOC101118091",1045,1,6,0,0,6,0
"LOC101117831",1487,1,0,0,0,0,0
"LOC101117573",1748,0,1,0,0,4,1
"LOC105605880",933,13,6,8,0,0,11
"LOC105605879",531,5,0,6,0,2,9
"LOC101117316",2728,321,185,216,150,215,169
"LOC101117062",1672,45,23,49,25,30,30
"LOC105605878",1053,0,0,0,0,0,0
"LOC101116551",959,0,0,0,0,0,0
"LOC101116295",864,0,0,0,0,0,0
"LOC106992024",685,0,0,0,0,0,0
"LOC106992023",3669,4932,4140,4996,3330,4664,4085
"LOC101115773",593,1595,1187,1672,1198,1618,1297
"LOC106990623",960,0,6,2,4,4,4
"LOC101115264",1035,1,2,0,0,2,0
"LOC101114501",872,0,0,0,0,0,2
"NPFFR2",1703,14,7,10,0,2,2
"LOC101113997",882,0,0,0,0,0,0
"LOC101113738",1036,0,0,0,0,0,0
"LOC105605876",2577,84,89,120,56,74,86
"LOC101113474",1184,4,0,0,15,19,12
"LOC105605873",891,202,102,106,110,154,155
"LOC106990115",1760,2,10,6,37,27,24
"LOC105605871",2474,0,0,0,0,0,0
"LOC105605870",389,2,2,0,2,14,10
"LOC101112961",316,6,4,2,2,0,0
"LOC105605869",188,69,29,54,18,28,40
"CRIP2",327,729,475,831,391,590,568
"LOC101112462",1332,548,316,433,327,427,392
"LOC105605868",565,6,2,10,12,20,18
"LOC105605867",479,0,2,12,26,20,16
"LOC101112205",1077,0,0,0,0,0,0
"LOC101111946",2205,18,12,24,8,1,1
"S100A14",1187,317,204,426,180,265,233
"S100A13",1304,10,12,18,14,38,30
"LOC101110917",1009,0,0,1,0,0,0
"LOC105605865",2118,0,0,0,0,0,0
"LOC105613972",481,66,52,74,60,51,59
"LOC105605864",1913,391,379,475,202,228,270
"LOC105605863",1089,0,0,0,0,0,0
"LOC106992022",749,0,0,0,0,0,0
"LOC101110131",5502,298,237,298,218,320,226
"LOC106990272",1465,38,30,32,8,30,26
"LOC105605861",2608,10,14,16,16,5,6
"RASSF1",666,1080,696,1040,688,934,974
"LOC101109601",962,2,14,1,5,14,7
"LOC101109342",930,7,4,10,0,4,2
"LOC105605859",1542,0,0,0,0,0,0
"LOC101109079",887,188,133,173,170,255,249
"LOC105605858",3230,204,120,210,82,104,99
"LOC106992021",2828,0,0,6,0,1,2
"LOC101108817",806,0,0,0,0,0,0
"LOC105605857",1596,73,45,56,32,75,49
"LOC101108556",2605,5,14,0,0,5,2
"LOC101108294",1138,0,0,4,2,0,0
"LOC105605855",6764,34,22,16,6,13,13
"LOC106990161",1477,0,0,0,0,0,2
"LOC105605854",2626,9,6,8,2,2,0
"LOC105605853",339,0,1,0,0,3,4
"LOC101108034",1906,0,0,0,0,0,0
"LOC101107770",1015,1593,982,1226,416,489,495
"LOC101107506",1378,4,8,7,4,5,22
"LOC101107260",1973,8,2,2,2,8,5
"LOC105605852",998,241,115,230,126,194,116
"LOC105605851",1069,0,0,0,0,0,0
"LOC101107003",1495,0,0,10,6,25,34
"LOC106992020",421,0,2,0,0,0,0
